Time,Hit,Miss
0,54,0
3,0,0
6,0,0
9,0,0
12,0,0
15,0,0
18,0,0
21,0,0
24,0,0
27,0,0
30,0,0
33,0,0
36,0,0
39,0,0
42,0,0
45,0,0
48,0,0
51,0,0
54,0,0
57,0,0
60,0,0
63,0,0
66,0,0
69,0,0
72,0,0
75,282,536
78,0,0
81,0,0
84,0,0
87,0,0
90,0,0
93,0,0
96,0,0
99,0,0
102,0,0
105,0,0
108,0,0
111,0,0
114,662,460
117,0,0
120,0,0
123,0,0
126,0,0
129,0,0
132,0,0
135,0,0
138,0,0
141,0,0
144,0,0
147,0,0
150,1,2
153,0,0
156,0,0
159,0,0
162,0,0
165,0,0
168,0,0
171,0,0
174,0,0
177,0,0
180,0,0
183,0,0
186,0,0
189,1,0
192,0,0
195,0,0
198,0,0
